estimating workload which takes just one milisecond
end estimation
0	1	1
0	3	2
0	4	3
0	6	4
0	7	5
0	9	6
0	10	7
0	12	8
0	14	9
0	15	10
0	17	11
0	18	12
0	20	13
0	22	14
0	23	15
0	25	16
0	26	17
0	28	18
0	30	19
0	31	20
0	33	21
0	34	22
0	36	23
0	38	24
0	39	25
0	41	26
0	42	27
0	44	28
0	46	29
0	47	30
0	49	31
0	50	32
0	52	33
0	54	34
0	56	35
0	57	36
0	59	37
0	60	38
0	62	39
0	63	40
0	65	41
0	67	42
0	68	43
0	70	44
0	71	45
0	73	46
0	75	47
0	76	48
0	78	49
0	79	50
0	81	51
0	83	52
0	84	53
0	86	54
0	87	55
0	89	56
0	90	57
0	92	58
0	94	59
0	95	60
0	97	61
0	98	62
0	100	63
0	101	64
0	103	65
0	104	66
0	106	67
0	108	68
0	109	69
0	111	70
0	112	71
0	114	72
0	116	73
0	117	74
0	119	75
0	120	76
0	122	77
0	124	78
0	125	79
0	127	80
0	128	81
0	130	82
0	131	83
0	133	84
0	135	85
0	136	86
0	138	87
0	139	88
0	141	89
0	143	90
0	144	91
0	146	92
0	147	93
0	149	94
0	150	95
0	152	96
0	153	97
0	155	98
0	157	99
0	158	100
estimating workload which takes just one milisecond
end estimation
